date,location,subject_statuses,subject_weapon,subject_race,subject_gender,latitude,longitude,month,season,officer_count_cat,street
2013-10-11,222 N. Barnett Avenue,Shoot and Miss,Unarmed,Latin,M,32.74721,-96.871408,10,autumn,alone, N. Barnett Avenue
2006-05-09,5500 Bernal Drive,Shoot and Miss,Handgun,Latin,M,32.77597,-96.911343,5,spring,alone, Bernal Drive
2010-03-14,2802 Materhorn Drive,Deceased,Unarmed,Black,M,32.82859,-96.666523,3,spring,alone, Materhorn Drive
2014-08-21,4800 Veterans Drive,Injured,Handgun,Black,M,32.69285,-96.781851,8,summer,alone, Veterans Drive
2016-03-26,8218 Willoughby Boulevard,Shoot and Miss,Shotgun/Rifle,Black,M,32.64723,-96.829362,3,spring,alone, Willoughby Boulevard
2016-07-03,7440 Chesterfield Drive,Shoot and Miss,Handgun,Black,M,32.65628,-96.869793,7,summer,alone, Chesterfield Drive
2016-06-11,2700 Custer Drive,Shoot and Miss,Vehicle,Black,M,32.70483,-96.779494,6,summer,alone, Custer Drive
2016-04-16,4800 Columbia Ave,Shoot and Miss,Handgun,Latin,M,32.79473,-96.764017,4,spring,alone, Columbia Ave
2016-07-23,1716 Chattanooga Place,Shoot and Miss,Handgun,Black,M,32.81664,-96.851409,7,summer,alone, Chattanooga Place
2016-07-07,801 Main Street,Deceased,Shotgun/Rifle,Black,M,32.77945,-96.804915,7,summer,more than 3, Main Street
